Structure of Structure [idcode],Structure,Molecular Formula,OSM ID,MMV ID,PubChem ID Links,PubChem ID,ChEMBL Molecule ID Links,ChEMBL Molecule ID,Internal ID,Series,InChI,InChI-Key,PfaI EC50 (Inh),Pfal IC50 (GSK),Pfal IC50 (Syngene),Pfal IC50 (Dundee),Pfal (3D7) IC50 (Broad),Pfal (Dd2) IC50 (Broad),PfaI EC50 uMol (Mean) Qualifier,PfaI EC50 uMol (Mean),Single Shot Inhibition %,PfATP4 'Test Set',Ion Regulation (ANU),Pb Liver Stage,Cytotox HepG2,Cytotox THP1,hERG pIC50,t1/2 HLM (Monash),t1/2 HLM (Inh),t1/2 MLM (Monash),t1/2 RLM (Inh),t1/2 RLM (Monash),t1/2 HCH (Monash),t1/2 RCH (Monash),CLint HLM (Monash),CLint HLM (Inh),CLint MLM (Monash),CLint RLM (Inh),CLint RLM (Monash),CLint HCH (Monash),CLint RCH (Monash),EH H M'some (Monash),EH M M'some (Monash),EH R M'some (Monash),EH H H'cyte (Monash),EH R H'cyte (Monash),LogD 3.0 (Monash),LogD 7.4 (Monash),Sol 2.0 ug/mL (Monash),Sol 6.5 ug/mL (Monash),Sol 6.8 uM (Inh),Sol 7.4 uM (Inh),cPPB % (Monash),CL Rat (Inh),Vss Rat (Inh),T1/2 Rat (Inh),Tmax Rat (Inh),Oral F Rat (Inh),Dofetilide (Inh),Cerep (Inh),Vivo NOD/SCID ED90,Vivo Parasit Cl,"Aldehyde Oxidase CLint,app (?L/min/mg)"
eghZDB@AC@hleE`I@bPNdKiCHhhllihheECBedhqpDUEdMMA@TtuLp@UPp@@@,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NC4=CC=C(F)C(F)=C4)=O)N32,C19H11F4N5O2,OSM-X-031,MMV669850,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76318583"">76318583</a> ",76318583,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137618"">CHEMBL3137618</a>",CHEMBL3137618,INHERITED,4,"InChI=1S/C19H11F4N5O2/c20-13-6-3-11(7-14(13)21)25-18(29)15-8-24-9-16-26-27-17(28(15)16)10-1-4-12(5-2-10)30-19(22)23/h1-9,19H,(H,25,29)",KKUPIUJNLQIEQB-UHFFFAOYSA-N,0.65,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e`\VDJ@JEGDljcC`IABPpdGiCzPrJPqIKJZJIQPpiYJBRIMYUK[UP@TtuLp@UPp@@@,c1cc(ccc1c2nnc3n2c(cnc3)C(=O)Nc4ccnc(c4)C(F)(F)F)OC(F)F,C19H11N6O2F5,OSM-S-175,MMV670944,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76311363"">76311363</a>",76311363,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137636"">CHEMBL3137636</a>",CHEMBL3137636,AEW 300-1,4,"InChI=1S/C19H11F5N6O2/c20-18(21)32-12-3-1-10(2-4-12)16-29-28-15-9-25-8-13(30(15)16)17(31)27-11-5-6-26-14(7-11)19(22,23)24/h1-9,18H,(H,26,27,31)",UEOZBGRWGZEYED-UHFFFAOYSA-N,0.1404,,,0.451,,,,0.2957,,B,Yes,3.827,10,,5.6,,52,,105,,,,,20,,16,,,,,,,,,2.6,,"25-50, 6.3-12.5","50-100, 6.3-12.5",>200,,73.4,,,,,,,,,,9.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ehRVLJDJMOLbfnKK`IABPpdOi@FPhgclbdLTVVTtTRbaaRrTdTrzJZvNj``JZZfX@JhX@@@,c1cc(ccc1c2nnc3n2c(cnc3)C(=O)Nc4ccn(=O)c(c4)C(F)(F)F)OC(F)F,C19H11N6O3F5,OSM-S-411,MMV1557864,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345719"">162345719</a>",162345719,Not in ChEMBL,Not in ChEMBL,,4,"InChI=1S/C19H11F5N6O3/c20-18(21)33-12-3-1-10(2-4-12)16-28-27-15-9-25-8-13(30(15)16)17(31)26-11-5-6-29(32)14(7-11)19(22,23)24/h1-9,18H,(H,26,31)",HAVDPBNWKHGTHN-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ek`ZDL@FMO@diI`HcZPNdLbbRfttTRbaaRrThx|rBRzF`BIijY`@ja`@@,c1cc(cc(c1)Cl)NC(=O)c2cncc3n2c(nn3)c4ccc(cc4)OC(F)F,C19H12N5O2ClF2,OSM-S-202,MMV669542,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76329438"">76329438</a>",76329438,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137610"">CHEMBL3137610</a>",CHEMBL3137610,TM 14,4,"InChI=1S/C19H12ClF2N5O2/c20-12-2-1-3-13(8-12)24-18(28)15-9-23-10-16-25-26-17(27(15)16)11-4-6-14(7-5-11)29-19(21)22/h1-10,19H,(H,24,28)",AJGOFYWOTIIYLR-UHFFFAOYSA-N,0.18,0.242,,,,,,0.211,100,A,Yes,,,45.19,4.89,,13.6,,6,,,,,72,,290,,,,,,,,,,,,,,<2.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ek`ZDL@NMO@diI`HcZPNdLbbRrTtTRbaaRrThX|rBRzF`@iijY`@ja`@@,c1cc(ccc1c2nnc3n2c(cnc3)C(=O)Nc4ccc(cc4)Cl)OC(F)F,C19H12N5O2ClF2,OSM-S-367,MMV670246,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76318584"">76318584</a>",76318584,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137620"">CHEMBL3137620</a>",CHEMBL3137620,EGT 95-3,4,"InChI=1S/C19H12ClF2N5O2/c20-12-3-5-13(6-4-12)24-18(28)15-9-23-10-16-25-26-17(27(15)16)11-1-7-14(8-2-11)29-19(21)22/h1-10,19H,(H,24,28)",CAFUHAVOTBMKAN-UHFFFAOYSA-N,5,,,9.791,,,,7.396,,B,No,,,,,164,115,115,113,,,199,11,8.6,15,15,,,2,0.3,0.24,,,0.11,,3.1,3.1-6.3,1.6-3.1,,<2.5,90.3,51.6,5.2,1.6,4,9,,,,,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eghZLL@NMO@diBe`H`zPndLbbRrTtTRbatrVReCGdPRPtt@EMMSL`AUE@@@,c1cc(ccc1c2nnc3n2c(c[nH]c3=O)C(=O)Nc4ccc(cc4)Cl)OC(F)F,C19H12N5O3ClF2,OSM-S-410,MMV1557863,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345718"">162345718</a>",162345718,Not in ChEMBL,Not in ChEMBL,,4,"InChI=1S/C19H12ClF2N5O3/c20-11-3-5-12(6-4-11)24-17(28)14-9-23-18(29)16-26-25-15(27(14)16)10-1-7-13(8-2-10)30-19(21)22/h1-9,19H,(H,23,29)(H,24,28)",SOVUBMPMKMEPEE-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eghZHJ@C@hlne@I@bPvdCiBzPrJJKKIJJIQPpiYRL\AEQYCSPPEUMSL@ETL@@@,c1cc(c(cc1CCOc2cncc3n2c(nn3)c4ccc(nc4)C(F)(F)F)F)F,C19H12N5OF5,OSM-S-366,MMV670936,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76318587"">76318587</a>",76318587,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137635"">CHEMBL3137635</a>",CHEMBL3137635,"AEW 296-1, PCCBTAK-0272",4,"InChI=1S/C19H12F5N5O/c20-13-3-1-11(7-14(13)21)5-6-30-17-10-25-9-16-27-28-18(29(16)17)12-2-4-15(26-8-12)19(22,23)24/h1-4,7-10H,5-6H2",GIBSJTKADOSTIA-UHFFFAOYSA-N,0.2621,,,0.521,,,,0.3916,,B,No,,,>50,<4.48,24,,13,,,165,53,71,,132,,,10,15,0.74,0.74,,0.55,0.5,,3.4,3.1-6.3,3.1-6.3,,,76.9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
