Structure of Structure [idcode],Structure,Molecular Formula,OSM ID,MMV ID,PubChem ID Links,PubChem ID,ChEMBL Molecule ID Links,ChEMBL Molecule ID,Internal ID,Series,InChI,InChI-Key,PfaI EC50 (Inh),Pfal IC50 (GSK),Pfal IC50 (Syngene),Pfal IC50 (Dundee),Pfal (3D7) IC50 (Broad),Pfal (Dd2) IC50 (Broad),PfaI EC50 uMol (Mean) Qualifier,PfaI EC50 uMol (Mean),Single Shot Inhibition %,PfATP4 'Test Set',Ion Regulation (ANU),Pb Liver Stage,Cytotox HepG2,Cytotox THP1,hERG pIC50,t1/2 HLM (Monash),t1/2 HLM (Inh),t1/2 MLM (Monash),t1/2 RLM (Inh),t1/2 RLM (Monash),t1/2 HCH (Monash),t1/2 RCH (Monash),CLint HLM (Monash),CLint HLM (Inh),CLint MLM (Monash),CLint RLM (Inh),CLint RLM (Monash),CLint HCH (Monash),CLint RCH (Monash),EH H M'some (Monash),EH M M'some (Monash),EH R M'some (Monash),EH H H'cyte (Monash),EH R H'cyte (Monash),LogD 3.0 (Monash),LogD 7.4 (Monash),Sol 2.0 ug/mL (Monash),Sol 6.5 ug/mL (Monash),Sol 6.8 uM (Inh),Sol 7.4 uM (Inh),cPPB % (Monash),CL Rat (Inh),Vss Rat (Inh),T1/2 Rat (Inh),Tmax Rat (Inh),Oral F Rat (Inh),Dofetilide (Inh),Cerep (Inh),Vivo NOD/SCID ED90,Vivo Parasit Cl,"Aldehyde Oxidase CLint,app (?L/min/mg)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eodRLB@C@hleJm`I@bPndGiCHhhlldhheECidleFN@dhliehHBjfifP@jb`@@,c1cc(ccc1c2nnc3n2c(c[nH]c3=O)OCCc4ccc(c(c4)F)F)OC(F)F,C20H14N4O3F4,OSM-X-055,MMV669025,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76336712"">76336712</a>",76336712,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137594"">CHEMBL3137594</a>",CHEMBL3137594,INHERITED,4,"InChI=1S/C20H14F4N4O3/c21-14-6-1-11(9-15(14)22)7-8-30-16-10-25-19(29)18-27-26-17(28(16)18)12-2-4-13(5-3-12)31-20(23)24/h1-6,9-10,20H,7-8H2,(H,25,29)",ZXMYJCVYBZFJIJ-UHFFFAOYSA-N,4.13,,,,,,,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eodRLB@KHdbiMM`I@bPndGiCHhhlmLeEDhhXTleFNHjdbiehHBjijY`@jab@P`@,FC(OC1=CC=C(C2=NN=C3C=NC=C(N32)OCC(C4=CC(F)=C(C=C4)F)O)C=C1)F,C20H14N4O3F4,OSM-S-390,MMV672687,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76311347"">76311347</a>",76311347,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137553"">CHEMBL3137553</a>",CHEMBL3137553,EGT 171-1,4,"InChI=1S/C20H14F4N4O3/c21-14-6-3-12(7-15(14)22)16(29)10-30-18-9-25-8-17-26-27-19(28(17)18)11-1-4-13(5-2-11)31-20(23)24/h1-9,16,20,29H,10H2/t16-/m0/s1",BXEWPSCIVPVASC-INIZCTEOSA-N,0.124,,,0.074,,,,0.099,,B,Yes,,,,,45,,10,,,,,38,,170,,,,,0.6,0.79,,,,,3.1,12.5-25,12.5-25,,,81.5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eodRLBDC@hleJm`I@bPndGi@JZnrJJKKIJJIQQZUKIQc`HjKJYZB@jijYh@JhX@@@,c1cc(ccc1c2nnc3n2c(cn(=O)c3)OCCc4ccc(c(c4)F)F)OC(F)F,C20H14N4O3F4,OSM-X-054,MMV668822,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76333078"">76333078</a>",76333078,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137569"">CHEMBL3137569</a>",CHEMBL3137569,,4,"InChI=1S/C20H14F4N4O3/c21-15-6-1-12(9-16(15)22)7-8-30-18-11-27(29)10-17-25-26-19(28(17)18)13-2-4-14(5-3-13)31-20(23)24/h1-6,9-11,20H,7-8H2",CUNPWKYJVCNHNZ-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edZZLF@LNK@dhDG`@aZPvdCi@FPadLddJTTTRRbfLJRdSRefWaPRTuruTaTCLAATURP@@@,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(NS(CC4=CC=C(C(F)(F)F)C=C4)(=O)=O)N32,C20H14F5N5O3S,OSM-X-092,MMV669103,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76333080"">76333080</a> ",76333080,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137599"">CHEMBL3137599</a>",CHEMBL3137599,INHERITED,4,"InChI=1S/C20H14F5N5O3S/c21-19(22)33-15-7-3-13(4-8-15)18-28-27-16-9-26-10-17(30(16)18)29-34(31,32)11-12-1-5-14(6-2-12)20(23,24)25/h1-10,19,29H,11H2",ZOJHYLYRVAQAKL-UHFFFAOYSA-N,10,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmoiB@M^Be\`RFQQIYIJJIQPpiYTY{HT}G@AUSTs@AXp@@,c1cc(ccc1CCOc2cncc3n2c(nn3)c4ccc(cc4)C#N)F,C20H14N5OF,OSM-W-010,N/A,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162393565"">162393565</a>",162393565,Not in ChEMBL,Not in ChEMBL,KH-13-1,4,"InChI=1S/C20H14FN5O/c21-17-7-3-14(4-8-17)9-10-27-19-13-23-12-18-24-25-20(26(18)19)16-5-1-15(11-22)2-6-16/h1-8,12-13H,9-10H2",YZWJDRUGHLMWSX-UHFFFAOYSA-N,,,,,0.159,0.123,,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ek`ZDD@C@hlceM`I@bPrJJKKIJJIQPpiSQc`HjKHYZB@jijY`BFF@@@,c1cc(cc(c1)C(=O)N)c2nnc3n2c(cnc3)OCCc4ccc(c(c4)F)F,C20H15N5O2F2,OSM-S-495,MMV1576794,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345724"">162345724</a>",162345724,Not in ChEMBL,Not in ChEMBL,MK016-1,4,"InChI=1S/C20H15F2N5O2/c21-15-5-4-12(8-16(15)22)6-7-29-18-11-24-10-17-25-26-20(27(17)18)14-3-1-2-13(9-14)19(23)28/h1-5,8-11H,6-7H2,(H2,23,28)",SUVZMBHYRLCWQO-UHFFFAOYSA-N,,,,>10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ek`ZDD@C@hlceM`I@bPrJJKKIJJIQPpiYQc`HjKHZZB@jijY`@fF@@@,c1cc(ccc1c2nnc3n2c(cnc3)OCCc4ccc(c(c4)F)F)C(=O)N,C20H15N5O2F2,OSM-S-494,MMV1576793,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345723"">162345723</a>",162345723,Not in ChEMBL,Not in ChEMBL,MK014-1,4,"InChI=1S/C20H15F2N5O2/c21-15-6-1-12(9-16(15)22)7-8-29-18-11-24-10-17-25-26-20(27(17)18)14-4-2-13(3-5-14)19(23)28/h1-6,9-11H,7-8H2,(H2,23,28)",INLVQLIAJLYDGP-UHFFFAOYSA-N,,,,>10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eodZDB@IKHdbmM`I@bPndGiCHhhlmLeEDhhXTleFNHjdbiehHBjijY`@jab@R@@,c1cc(ccc1c2nnc3n2c(cnc3)OC[C@@H](c4ccc(c(c4)F)F)N)OC(F)F,C20H15N5O2F4,OSM-X-010,MMV671651,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76329442"">76329442</a>",76329442,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137645"">CHEMBL3137645</a>",CHEMBL3137645,INHERITED,4,"InChI=1S/C20H15F4N5O2/c21-14-6-3-12(7-15(14)22)16(25)10-30-18-9-26-8-17-27-28-19(29(17)18)11-1-4-13(5-2-11)31-20(23)24/h1-9,16,20H,10,25H2/t16-/m0/s1",BIGCWGPLTSPPFJ-INIZCTEOSA-N,0.2785,,,,,,,0.2785,,,,,,,,42,,23,,,,,41,,77,,,,,0.62,0.62,,,,1.6,2.7,12.5-25,6.3-12.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fcHa@MFlW@PRBIAIme]enU}eQRmyIU{j`@fjfj`@E@@@,c1ccc(cc1)CCOc2cncc3n2c(nn3)c4ccc(cc4)OC(F)F,C20H16N4O2F2,OSM-S-369,MMV897698,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345713"">162345713</a>",162345713,Not in ChEMBL,Not in ChEMBL,"EGT 92-1, CG81-1, MK088-1",4,"InChI=1S/C20H16F2N4O2/c21-20(22)28-16-8-6-15(7-9-16)19-25-24-17-12-23-13-18(26(17)19)27-11-10-14-4-2-1-3-5-14/h1-9,12-13,20H,10-11H2",AVBCIJLYABLIRW-UHFFFAOYSA-N,,,,,,,,,,C,Yes,,,,5.13,26,,7,,9,,,66,,262,,187,,,0.72,0.85,0.83,,,,3.7,6.3-12.5,6.3-12.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ek`RLD@MCKBl@f`IABPR[YWY[e_nUDdl|RJvNj`@fjfjh@ARBj`@,OC(C1=CC=CC=C1)COC2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32,C20H16N4O3F2,OSM-S-279,MMV688896,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345709"">162345709</a>",162345709,Not in ChEMBL,Not in ChEMBL,AEW 236-1; EGT 119-2,4,"InChI=1S/C20H16F2N4O3/c21-20(22)29-15-8-6-14(7-9-15)19-25-24-17-10-23-11-18(26(17)19)28-12-16(27)13-4-2-1-3-5-13/h1-11,16,20,27H,12H2/t16-/m0/s1",GEHCMLKWLSBHDX-INIZCTEOSA-N,,,,0.364,,,,0.364,,B,Yes,,,,,246,,6,,,,,7,,278,,,,,0.22,0.86,,,,,2.9,25-50,25-50,,,68.5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eghRLL@MCKBhD@`@cZPndLddLrVTRfbRvTRTHdegbQRqrt@DuTuT@QB`@@,CS(=O)(=O)c1ccc(cc1)c2nnc3n2c(cnc3)OCCc4ccc(c(c4)F)F,C20H16N4O3F2S,OSM-W-005,N/A,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345748"">162345748</a>",162345748,Not in ChEMBL,Not in ChEMBL,KH-7-1,4,"InChI=1S/C20H16F2N4O3S/c1-30(27,28)15-5-3-14(4-6-15)20-25-24-18-11-23-12-19(26(18)20)29-9-8-13-2-7-16(21)17(22)10-13/h2-7,10-12H,8-9H2,1H3",ISCYIQSGKXBNIC-UHFFFAOYSA-N,,,,,0.698,1.486,,1.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eghRLL@JECGHDE`@`zPndLddLRbRbffaRRqRbgacePwTruMULp@@AUL@@@,c1ccc(cc1)CCS(=O)(=O)c2cncc3n2c(nn3)c4ccc(cc4)OC(F)F,C20H16N4O3F2S,OSM-S-365,MMV693166,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345711"">162345711</a>",162345711,Not in ChEMBL,Not in ChEMBL,EGT 60-1,4,"InChI=1S/C20H16F2N4O3S/c21-20(22)29-16-8-6-15(7-9-16)19-25-24-17-12-23-13-18(26(17)19)30(27,28)11-10-14-4-2-1-3-5-14/h1-9,12-13,20H,10-11H2",VHMNWOXAYNBRAI-UHFFFAOYSA-N,,,,>10,,,,,,C,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fcIC@LBTXX@a\anPrQQJIJJZZEIKEJBlhvVu{TuTs@@@ETp@@@,c1ccc(cc1)CCSc2cncc3n2c(nn3)c4ccc(cc4)OC(F)F,C20H16N4OF2S,OSM-S-571,MMV1581336,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345740"">162345740</a>",162345740,Not in ChEMBL,Not in ChEMBL,"EGT 52-2 (f6-10), MK087a",4,"InChI=1S/C20H16F2N4OS/c21-20(22)27-16-8-6-15(7-9-16)19-25-24-17-12-23-13-18(26(17)19)28-11-10-14-4-2-1-3-5-14/h1-9,12-13,20H,10-11H2",GFJJCWGNCVLFNL-UHFFFAOYSA-N,,,,1.05,,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ek`RDL@BIMKHI`@cZPNdLdfbTRTTttJRVJTd\tlJzZFZfjfX@@@jfB@B@@,c1ccc(cc1)CC[S@](=O)c2cncc3n2c(nn3)c4ccc(cc4)OC(F)F,C20H16N4O2F2S,OSM-S-364,MMV693167,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345710"">162345710</a>",162345710,Not in ChEMBL,Not in ChEMBL,,4,"InChI=1S/C20H18F2N4O2S/c21-20(22)28-16-8-6-15(7-9-16)19-25-24-17-12-23-13-18(26(17)19)29(27)11-10-14-4-2-1-3-5-14/h1-9,12-13,20H,10-11,29H2",QIPNSNZPCXSNNQ-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e`\ZDB@@bjnoiC@I@bPldGICHhhlmDeDXheECBedqpTMUt]]A@UUUMSL@EcD@d@@,c1cc(ccc1C#N)c2nnc3n2c(cnc3)OC[C@@H](c4ccc(c(c4)F)F)OC(F)F,C21H13N5O2F4,OSM-S-377,MMV670652,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/71819646"">71819646</a>",71819646,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137625"">CHEMBL3137625</a>",CHEMBL3137625,,4,"InChI=1S/C21H13F4N5O2/c22-15-6-5-14(7-16(15)23)17(32-21(24)25)11-31-19-10-27-9-18-28-29-20(30(18)19)13-3-1-12(8-26)2-4-13/h1-7,9-10,17,21H,11H2/t17-/m0/s1",LHSRVKYAEUESTK-KRWDZBQOSA-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekhZHD@C@hlie@I@bPrJJKKIJJIQPpiSIc`HjKHY[XzB@jijY`BJFD@@,c1cc(cc2c1cc[nH]2)c3nnc4n3c(cnc4)OCCc5ccc(c(c5)F)F,C21H15N5OF2,OSM-S-525,MMV1579341,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/132992883"">132992883</a>",132992883,Not in ChEMBL,Not in ChEMBL,"MK035-1, MK035-2",4,"InChI=1S/C21H15F2N5O/c22-16-4-1-13(9-17(16)23)6-8-29-20-12-24-11-19-26-27-21(28(19)20)15-3-2-14-5-7-25-18(14)10-15/h1-5,7,9-12,25H,6,8H2",VHFREJHLTSVZGA-UHFFFAOYSA-N,,,,,,,,,,,,,,,5.12,8,,4,,,,34,205,,417,,,,11,0.89,0.9,,,0.43,,3.4,3.1-6.3,3.1-6.3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekhZHD@C@hlee@I@bPrJJKKIJJIQPpqJIc`HjKJ[YXzB@jijY`HaFH@@,FC1=CC(CCOC2=CN=CC3=NN=C(C4=C5C(NC=C5)=CC=C4)N23)=CC=C1F,C21H15F2N5O,OSM-S-547,MMV1580432,Not Found,Not Found,Not in ChEMBL,Not in ChEMBL,MK064-1,4,"InChI=1S/C21H15F2N5O/c22-16-5-4-13(10-17(16)23)7-9-29-20-12-24-11-19-26-27-21(28(19)20)15-2-1-3-18-14(15)6-8-25-18/h1-6,8,10-12,25H,7,9H2",BAKHABOPVVJMJZ-UHFFFAOYSA-N,,,,4.9,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eghZDD@GDljkiC@I@bPrJJKKQKJJIQPpiYL\IMYUK[PPEUTuLp@VLPBD@@,FC(C=C1)=C(F)C=C1C(OC)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,C21H15N5O2F2,OSM-S-218,MMV897709,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76333083"">76333083</a> <a href=""https://pubchem.ncbi.nlm.nih.gov/compound/132992881"">132992881</a>",76333083 & 132992881,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL4575009"">CHEMBL4575009</a>, <a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137614"">CHEMBL3137614</a>","CHEMBL4575009, CHEMBL3137614",AEW 313-1,4,"InChI=1S/C21H15F2N5O2/c1-29-18(15-6-7-16(22)17(23)8-15)12-30-20-11-25-10-19-26-27-21(28(19)20)14-4-2-13(9-24)3-5-14/h2-8,10-11,18H,12H2,1H3/t18-/m0/s1",PERKBMZWWUEZNJ-SFHVURJKSA-N,0.04,,,,,,,0.04,,B,Yes,1.367,10,,5.2,37,,11,,,231,57,47,,159,,,7,14,0.65,0.77,,0.47,0.48,,3.4,12.5-25,12.5-25,,,70.3,,,,,,,,,99.9,<1.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e`\RDJ@GDljcC`I@bPddGiCzPrJJKKR[JJIQPpiYJL\IMYUK[PPEUTuLp@UPq@HP@@,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C)(F)C4=CC(F)=C(F)C=C4)N32,C21H15N4O2F5,OSM-X-006,MMV672727,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76314947"">76314947</a>",76314947,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137559"">CHEMBL3137559</a>",CHEMBL3137559,INHERITED,4,"InChI=1S/C21H15F5N4O2/c1-21(26,13-4-7-15(22)16(23)8-13)11-31-18-10-27-9-17-28-29-19(30(17)18)12-2-5-14(6-3-12)32-20(24)25/h2-10,20H,11H2,1H3/t21-/m0/s1",MHMDPQOWBHVFHN-NRFANRHFSA-N,0.1228,,,,,,,0.1228,,,,,,,,31,,6,,,,,55,,273,,,,,0.69,0.85,,,,3.6,3.6,6.3-12.5,6.3-12.5,,,,,,,,,,,,,<1.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ehRRLJ@ODljcKK`I@bPDdOi@FPrJJKIZIKQJIHjIKIQccHjikXzB@jjffZ`@jbRBQ@@,c1cc(ccc1c2nnc3n2ccnc3OC[C@H](CO)c4cc(c(cc4F)F)F)OC(F)F,C21H15N4O3F5,OSM-S-031,MMV1794638,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345706"">162345706</a>",162345706,Not in ChEMBL,Not in ChEMBL,,4,"InChI=1S/C21H15F5N4O3/c22-15-8-17(24)16(23)7-14(15)12(9-31)10-32-20-19-29-28-18(30(19)6-5-27-20)11-1-3-13(4-2-11)33-21(25)26/h1-8,12,21,31H,9-10H2/t12-/m0/s1",NEIRZOMSGQEPFH-LBPRGKRZSA-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eodZDL@AKHdbmM`HbzP^dLbbRaTTLTRbaaRrThXbjRJfV`@jffif@BjF@@@,CN(Cc1cccc(c1)Cl)C(=O)c2cncc3n2c(nn3)c4ccc(cc4)OC(F)F,C21H16N5O2ClF2,OSM-X-036,MMV669105,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76333081"">76333081</a>",76333081,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137601"">CHEMBL3137601</a>",CHEMBL3137601,INHERITED,4,"InChI=1S/C21H16ClF2N5O2/c1-28(12-13-3-2-4-15(22)9-13)20(30)17-10-25-11-18-26-27-19(29(17)18)14-5-7-16(8-6-14)31-21(23)24/h2-11,21H,12H2,1H3",UIQMDRDWZSXMKZ-UHFFFAOYSA-N,1.06,,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eodRBD@MCKBl@em`IABPrJYQIYQJZIKZJJIDRRsqHjyzj@BZjZj`X@T`jh@@,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C(O)=O)C4=CC=CC=C4)N32,C21H16N4O4F2,OSM-S-515,MMV1579336,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345728"">162345728</a>",162345728,Not in ChEMBL,Not in ChEMBL,EGT 199-5,4,"InChI=1S/C21H16F2N4O4/c22-21(23)31-15-8-6-14(7-9-15)19-26-25-17-10-24-11-18(27(17)19)30-12-16(20(28)29)13-4-2-1-3-5-13/h1-11,16,21H,12H2,(H,28,29)/t16-/m1/s1",FICNFVPYGUTYFV-MRXNPFEDSA-N,,,,3.88,,,,3.88,,,,,,,<5,>255,,>255,,,,224,<7,,<7,,,,2,<0.22,<0.13,,,0.1,,1.3,6.3-12.5,25-50,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eodRDB@C@hleM`I@bPndGiCHhhlldhheECLeleFN@bhliehHBjfifB@ja`@@,Cc1c2nnc(n2c(cn1)OCCc3ccc(c(c3)F)F)c4ccc(cc4)OC(F)F,C21H16N4O2F4,OSM-X-063,MMV669541,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76311358"">76311358</a>",76311358,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137609"">CHEMBL3137609</a>",CHEMBL3137609,INHERITED,4,"InChI=1S/C21H16F4N4O2/c1-12-19-27-28-20(14-3-5-15(6-4-14)31-21(24)25)29(19)18(11-26-12)30-9-8-13-2-7-16(22)17(23)10-13/h2-7,10-11,21H,8-9H2,1H3",ZOSZOZWECBRIDQ-UHFFFAOYSA-N,6.92,,,,,,,6.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e`\RLB@GDljiCC`I@bP^dOiCHhhlmIlhheECBedhqpdueTmmA@UUSTs@AUCD@a@@,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C)(O)C4=CC(F)=C(F)C=C4)N32,C21H16N4O3F4,OSM-X-004,MMV672723,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76322229"">76322229</a>",76322229,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137556"">CHEMBL3137556</a>",CHEMBL3137556,INHERITED,4,"InChI=1S/C21H16F4N4O3/c1-21(30,13-4-7-15(22)16(23)8-13)11-31-18-10-26-9-17-27-28-19(29(17)18)12-2-5-14(6-3-12)32-20(24)25/h2-10,20,30H,11H2,1H3/t21-/m0/s1",NBSLUXDUMZFLCA-NRFANRHFSA-N,0.1012,,,,,,,0.1012,,,,,,,,47,,18,,,,,37,,94,,,,,0.59,0.67,,,,2.9,2.9,12.5-25,12.5-25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e`\RLB@GDljmCC`I@bP^dOiCHhhlmDehheECBedhqpdueTmmA@UUSTs@AUCD@e@@,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(CO)C4=CC(F)=C(F)C=C4)N32,C21H16N4O3F4,OSM-S-381,MMV670947,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76314954"">76314954</a>",76314954,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137639"">CHEMBL3137639</a>",CHEMBL3137639,INHERITED,4,"InChI=1S/C21H16F4N4O3/c22-16-6-3-13(7-17(16)23)14(10-30)11-31-19-9-26-8-18-27-28-20(29(18)19)12-1-4-15(5-2-12)32-21(24)25/h1-9,14,21,30H,10-11H2/t14-/m0/s1",MKSKANAVVSFYNL-AWEZNQCLSA-N,0.02432,,,,,,,0.02432,,B,,,,,,,,,,,,,,8,,60,,,,,,,,,,,,,,,,,,,,,,,,,<1.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ehRRBB@OLbfiCKK`I@bP~d@YCHhhlmIdmEDhhXTleFNLnbfmchHBjjfif@BjFHAB@@,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(CO)(O)C4=CC=C(F)C(F)=C4)N32,C21H16N4O4F4,OSM-S-560,MMV1581298,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345739"">162345739</a>",162345739,Not in ChEMBL,Not in ChEMBL,DGS 77-1,4,"InChI=1S/C21H16F4N4O4/c22-15-6-3-13(7-16(15)23)21(31,10-30)11-32-18-9-26-8-17-27-28-19(29(17)18)12-1-4-14(5-2-12)33-20(24)25/h1-9,20,30-31H,10-11H2/t21-/m0/s1",GXKONCOXFIUYEL-NRFANRHFSA-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
