OSM Number,Batch,Internal ID,,PubChem CID,MMV ID,SMILES,InChI,IChI Key,Series,Assays,PfaI EC50 (Inh),Pfal IC50 (GSK),Pfal IC50 (Syngene),Pfal IC50 (Dundee),0,Pfal (K1) IC50 (Avery),Pfal IC50 (Ralph),Pfal IC50 (Guy),Pfal (K1) IC50 (Guy),Pfal IC50 (Batra),Pfal (K1) IC50 (Batra),Pfal (3D7) IC50 (Broad),Pfal (Dd2) IC50 (Broad),PfaI EC50 uMol (Mean) Qualifier,PfaI EC50 uMol (Mean),Single Shot Inhibition %,PRR (Rate of Killing),PfATP4 'Test Set',Ion Regulation (ANU),DHODH,Late Stage Gametocyte (Avery),Pb Liver Stage,Cytotox HepG2,Cytotox HEK293 (120),Cytotox HEK293 (40),Cytotox Vero MTT,Cytotox THP1,hERG pIC50,t1/2 HLM (Monash),t1/2 HLM (Inh),t1/2 MLM (Monash),t1/2 RLM (Inh),t1/2 RLM (Monash),t1/2 HCH (Monash),t1/2 RCH (Monash),t1/2 plasma Human,t1/2 plasma Mouse,CLint HLM (Monash),%remain plasma Human,%remain plasma Mouse,CLint HLM (Inh),CLint MLM (Monash),CLint RLM (Inh),CLint RLM (Monash),CLint HCH (Monash),CLint RCH (Monash),EH H M'some (Monash),EH M M'some (Monash),EH R M'some (Monash),EH H H'cyte (Monash),EH R H'cyte (Monash),LogD 3.0 (Monash),LogD 7.4 (Monash),Sol 2.0 ug/mL (Monash),Sol 6.5 ug/mL (Monash),Sol 6.8 uM (Inh),Sol 7.4 uM (Inh),cPPB % (Monash),CL Rat (Inh),Vss Rat (Inh),T1/2 Rat (Inh),Tmax Rat (Inh),Oral F Rat (Inh),Dofetilide (Inh),Cerep (Inh),Vivo NOD/SCID ED90,Vivo Berghei %activity,Vivo Parasit Cl,"Aldehyde Oxidase
 CLint,app (µL/min/mg)"
OSM-A-1,,,,1233035,,O=C(/C(S/1)=C/C2=C(C)N(C(C)=C2)C3=CC=C(S(=O)(N)=O)C=C3)NC1=N\C4=CC=CC=C4,"InChI=1S/C22H20N4O3S2/c1-14-12-16(15(2)26(14)18-8-10-19(11-9-18)31(23,28)29)13-20-21(27)25-22(30-20)24-17-6-4-3-5-7-17/h3-13H,1-2H3,(H2,23,28,29)(H,24,25,27)/b20-13-",ODRSSOQWOHNABY-MOSHPQCFSA-N,1,,,,,,,,,3.05,4.379,,,,,,3.7145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-A-10,,,,,,O=C([H])C1=C(C)N(C(C)=C1)C2=CC(OC)=CC=C2,"InChI=1S/C14H15NO2/c1-10-7-12(9-16)11(2)15(10)13-5-4-6-14(8-13)17-3/h4-9H,1-3H3",XTPVHYRCFNPCRL-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-A-11,,,,,,IC1=CC=C(N2C(C)=CC=C2C)C=C1,"InChI=1S/C12H12IN/c1-9-3-4-10(2)14(9)12-7-5-11(13)6-8-12/h3-8H,1-2H3",CLGKGHWNVMDYQB-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-A-12,,,,,,IC1=CC=C(N2C(C)=CC(C([H])=O)=C2C)C=C1,"InChI=1S/C13H12INO/c1-9-7-11(8-16)10(2)15(9)13-5-3-12(14)4-6-13/h3-8H,1-2H3",SSNYMKCLPCTDEB-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-A-2,,,,,,O=C(/C(S/1)=C/C2=C(C)N(C(C)=C2)C3=CC=C(C#N)C=C3)NC1=N\C4=CC=CC=C4,"InChI=1S/C23H18N4OS/c1-15-12-18(16(2)27(15)20-10-8-17(14-24)9-11-20)13-21-22(28)26-23(29-21)25-19-6-4-3-5-7-19/h3-13H,1-2H3,(H,25,26,28)/b21-13-",LXPLFPVISCVJSC-BKUYFWCQSA-N,1,,,,,,,,,0.574,1.829,,,,,,1.2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-A-3,,,,,,O=C(/C(S/1)=C/C2=C(C)N(C(C)=C2)C3=CC=C(I)C=C3)NC1=N\C4=CC=CC=C4,"InChI=1S/C23H21N3O2S/c1-15-12-17(16(2)26(15)19-10-7-11-20(14-19)28-3)13-21-22(27)25-23(29-21)24-18-8-5-4-6-9-18/h4-14H,1-3H3,(H,24,25,27)/b21-13-",QRGVMORNNJFJKZ-BKUYFWCQSA-N,1,,,,,,,,,0.098,0.14,,,,,,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-A-4,,,,,,,"InChI=1S/C22H18IN3OS/c1-14-12-16(15(2)26(14)19-10-8-17(23)9-11-19)13-20-21(27)25-22(28-20)24-18-6-4-3-5-7-18/h3-13H,1-2H3,(H,24,25,27)/b20-13-",LZWDTKNFRNEIKZ-MOSHPQCFSA-N,1,,,,,,,,,1.745,3.162,,,,,,2.4535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-A-5,,,,,,CC1=CC=C(C)N1C2=CC=C(S(=O)(N)=O)C=C2,"InChI=1S/C12H14N2O2S/c1-9-3-4-10(2)14(9)11-5-7-12(8-6-11)17(13,15)16/h3-8H,1-2H3,(H2,13,15,16)",STHWURXTZRCILS-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-A-6,,,,,,O=C([H])C1=C(C)N(C(C)=C1)C2=CC=C(S(N)=O)C=C2,"InChI=1S/C13H14N2O2S/c1-9-7-11(8-16)10(2)15(9)12-3-5-13(6-4-12)18(14)17/h3-8H,14H2,1-2H3",JYZXFZAZSQBBQH-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-A-7,,,,,,CC1=CC=C(C)N1C2=CC=C(C#N)C=C2,"InChI=1S/C13H12N2/c1-10-3-4-11(2)15(10)13-7-5-12(9-14)6-8-13/h3-8H,1-2H3",FNDFKQYZEDOHRC-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-A-8,,,,,,O=C([H])C1=C(C)N(C(C)=C1)C2=CC=C(C#N)C=C2,"InChI=1S/C14H12N2O/c1-10-7-13(9-17)11(2)16(10)14-5-3-12(8-15)4-6-14/h3-7,9H,1-2H3",AZYQCNIOZJETFM-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-A-9,,,,,,CC1=CC=C(C)N1C2=CC(OC)=CC=C2,"InChI=1S/C13H15NO/c1-10-7-8-11(2)14(10)12-5-4-6-13(9-12)15-3/h4-9H,1-3H3",GVGRVGMGPYDHOB-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-E-1,,PT-1-10 ,,57519183,,FC1=CC=C(N2C(C)=CC(S(N(C)CC(N)=O)(=O)=O)=C2C)C=C1,"InChI=1S/C15H18FN3O3S/c1-10-8-14(23(21,22)18(3)9-15(17)20)11(2)19(10)13-6-4-12(16)5-7-13/h4-8H,9H2,1-3H3,(H2,17,20)",KRDORFFFZGUMFF-UHFFFAOYSA-N,1,,,,,>50,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-E-10,,PT-1-6; PT-1-7; PT-1-8; PT-1-9,,,,FC1=CC=C(N2C(C)=CC(S(N(C)CC(OC)=O)(=O)=O)=C2C)C=C1,"InChI=1S/C16H19FN2O4S/c1-11-9-15(24(21,22)18(3)10-16(20)23-4)12(2)19(11)14-7-5-13(17)6-8-14/h5-9H,10H2,1-4H3",LIADENKDGVSTCO-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-E-11,,PT-1-11,,,,FC1=CC=C(N2C(C)=CC(S(N([H])CC(OC)=O)(=O)=O)=C2C)C=C1,"InChI=1S/C15H17FN2O4S/c1-10-8-14(23(20,21)17-9-15(19)22-3)11(2)18(10)13-6-4-12(16)5-7-13/h4-8,17H,9H2,1-3H3",MAMSLIRHTVGOCI-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-E-12,,PT-1-4,,,,FC1=CC=C(N2C(C)=CC(S([O-])(=O)=O)=C2C)C=C1.[H][N+]3=CC=CC=C3,"InChI=1S/C12H12FNO3S.C5H5N/c1-8-7-12(18(15,16)17)9(2)14(8)11-5-3-10(13)4-6-11;1-2-4-6-5-3-1/h3-7H,1-2H3,(H,15,16,17);1-5H",GVWFBFKDWILLTG-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-E-13,,PT-1-3,,,,FC1=CC=C(N2C(C)=C(S(N(CC(OC)=O)C)(=O)=O)C(S(N(C)CC(OC)=O)(=O)=O)=C2C)C=C1,"InChI=1S/C20H26FN3O8S2/c1-13-19(33(27,28)22(3)11-17(25)31-5)20(34(29,30)23(4)12-18(26)32-6)14(2)24(13)16-9-7-15(21)8-10-16/h7-10H,11-12H2,1-6H3",HLULFYCSKNZRBP-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-E-14,,PT-1-13,,10877131,,O=C(OC)COCC#C,"InChI=1S/C6H8O3/c1-3-4-9-5-6(7)8-2/h1H,4-5H2,2H3",AIQJXQPQNMKDGJ-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-E-2,,PT-1-12,,,,FC1=CC=C(N2C(C)=CC(S(NCC(N)=O)(=O)=O)=C2C)C=C1,"InChI=1S/C14H16FN3O3S/c1-9-7-13(22(20,21)17-8-14(16)19)10(2)18(9)12-5-3-11(15)4-6-12/h3-7,17H,8H2,1-2H3,(H2,16,19)",RMHRPTFDPMUFGU-UHFFFAOYSA-N,1,,,,,>50,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-E-3,,PT-1-5,,,,FC1=CC=C(N2C(C)=C(S(N(CC(N)=O)C)(=O)=O)C(S(N(C)CC(N)=O)(=O)=O)=C2C)C=C1,"InChI=1S/C18H24FN5O6S2/c1-11-17(31(27,28)22(3)9-15(20)25)18(32(29,30)23(4)10-16(21)26)12(2)24(11)14-7-5-13(19)6-8-14/h5-8H,9-10H2,1-4H3,(H2,20,25)(H2,21,26)",TZMPVBDMPWKREJ-UHFFFAOYSA-N,1,,,,,>50,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-E-4,,PT-1-14-C1,,,,FC1=CC=C(N2N=NC(COC(CBr)=O)=C2)C=C1,"InChI=1S/C11H9BrFN3O2/c12-5-11(17)18-7-9-6-16(15-14-9)10-3-1-8(13)2-4-10/h1-4,6H,5,7H2",UNGOTBWYUGGCJU-UHFFFAOYSA-N,1,,,,,>50,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-E-5,,PT-1-14-C2,,,,FC1=CC=C(N2N=NC(COCC(OCC)=O)=C2)C=C1,"InChI=1S/C13H14FN3O3/c1-2-20-13(18)9-19-8-11-7-17(16-15-11)12-5-3-10(14)4-6-12/h3-7H,2,8-9H2,1H3",OAQNGCWJHOFYIG-UHFFFAOYSA-N,1,,,,,>50,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-E-6,,PT-1-14-C3,,,,FC1=CC=C(N2N=NC(COCC(OC)=O)=C2)C=C1,"InChI=1S/C12H12FN3O3/c1-18-12(17)8-19-7-10-6-16(15-14-10)11-4-2-9(13)3-5-11/h2-6H,7-8H2,1H3",MXCBYXCXBDMCMO-UHFFFAOYSA-N,1,,,,,>50,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-E-7,,PT-1-14-C4,,,,FC1=CC=C(N2N=NC(COCC(OCC3=CN(C4=CC=C(F)C=C4)N=N3)=O)=C2)C=C1,"InChI=1S/C20H16F2N6O3/c21-14-1-5-18(6-2-14)27-9-16(23-25-27)11-30-13-20(29)31-12-17-10-28(26-24-17)19-7-3-15(22)4-8-19/h1-10H,11-13H2",CWJPLXSSRWVEAF-UHFFFAOYSA-N,1,,,,,>50,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-E-8,,PT-1-15,,,,FC1=CC=C(N2N=NC(COCC(N)=O)=C2)C=C1,"InChI=1S/C11H11FN4O2/c12-8-1-3-10(4-2-8)16-5-9(14-15-16)6-18-7-11(13)17/h1-5H,6-7H2,(H2,13,17)",XMSVYANCVZPQJL-UHFFFAOYSA-N,1,,,,,>50,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-E-9,,PT-1-9; PMY54,,,,FC1=CC=C(N2C(C)=CC(S(Cl)(=O)=O)=C2C)C=C1,"InChI=1S/C12H11ClFNO2S/c1-8-7-12(18(13,16)17)9(2)15(8)11-5-3-10(14)4-6-11/h3-7H,1-2H3",MZWDVJVLEJEILM-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-L-1,,SBBH-1-9,,,,CC(N1C2=CC(F)=CC=C2)=CC(/C=C(C(N/3C4=CC=CC=C4)=O)\SC3=N/C5=CC=CC=C5)=C1C,"InChI=1S/C28H22FN3OS/c1-19-16-21(20(2)31(19)25-15-9-10-22(29)18-25)17-26-27(33)32(24-13-7-4-8-14-24)28(34-26)30-23-11-5-3-6-12-23/h3-18H,1-2H3/b26-17-,30-28-",URZLHIHAUACTCO-DUPRQXJUSA-N,1,,,,,,,,,,,3.2,>5,,,,3.2,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-L-2,,SBHK-516,,,,O=C(OCC#N)C1=C(C)N(N=C1)C2=CC=CC=C2,"InChI=1S/C13H11N3O2/c1-10-12(13(17)18-8-7-14)9-15-16(10)11-5-3-2-4-6-11/h2-6,9H,8H2,1H3",LVOFSOINGBOZCK-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-1,,PMY1; AEW1; PT1; MD22,,3145454,,FC1=CC=C(N2C(C)=CC=C2C)C=C1,"InChI=1S/C12H12FN/c1-9-3-4-10(2)14(9)12-7-5-11(13)6-8-12/h3-8H,1-2H3",AIWFQKZWZOYVMK-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-10,,PMY14-3-A; AEW80,,1228983,MMV689017,FC1=CC=C(N2C(C)=CC(/C=C3S/C(NC\3=O)=N\C4=CC=CC=C4)=C2C)C=C1,"InChI=1S/C22H18FN3OS/c1-14-12-16(15(2)26(14)19-10-8-17(23)9-11-19)13-20-21(27)25-22(28-20)24-18-6-4-3-5-7-18/h3-13H,1-2H3,(H,24,25,27)/b20-13-",IMCPBTMVWRMBHR-MOSHPQCFSA-N,1,,,0.032,,,0.176,0.361,0.201,,,,,,,,0.1925,,slow,,,,,,,25,,,,,103,,,,,,,,,17,,,,,,,,,,,,,,,,<1.6,<1.6,,,,,,,,,,,,,,
OSM-S-100,,AEW73; MD18,,71450943,,FC1=CC=C(N2C(C)=CC(C(OC(C)C(O)=O)=O)=C2C)C=C1,"InChI=1S/C16H16FNO4/c1-9-8-14(16(21)22-11(3)15(19)20)10(2)18(9)13-6-4-12(17)5-7-13/h4-8,11H,1-3H3,(H,19,20)",CLQCMRDHQCCPEN-UHFFFAOYSA-N,1,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-101,,PMY59,,71459966,,FC1=CC=C(N2C(C)=CC(C3=NC(C(O)=O)=CO3)=C2C)C=C1,"InChI=1S/C16H13FN2O3/c1-9-7-13(15-18-14(8-22-15)16(20)21)10(2)19(9)12-5-3-11(17)4-6-12/h3-8H,1-2H3,(H,20,21)",PZPDUGQJGPKVEM-UHFFFAOYSA-N,1,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-102,,MNR53,,71461679,,FC1=CC=C(N2C(C)=CC(C(CCC(NC)=O)=O)=C2C)C=C1,"InChI=1S/C17H19FN2O2/c1-11-10-15(16(21)8-9-17(22)19-3)12(2)20(11)14-6-4-13(18)5-7-14/h4-7,10H,8-9H2,1-3H3,(H,19,22)",NTSUYUWERKMXIY-UHFFFAOYSA-N,1,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-103,,MNR54,,71452751,,CC(N1C2=CC=C(F)C=C2)=C(C(CCC(N)=O)=O)C=C1C,"InChI=1S/C16H17FN2O2/c1-10-9-14(15(20)7-8-16(18)21)11(2)19(10)13-5-3-12(17)4-6-13/h3-6,9H,7-8H2,1-2H3,(H2,18,21)",IUFWRPRMBNNROV-UHFFFAOYSA-N,1,,,,,,61% at 40 micromolar,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-104,,MNR55,,71450944,,FC1=CC=C(N2N=CC(C3=NC(C(O)=O)=CO3)=C2C)C=C1,"InChI=1S/C14H10FN3O3/c1-8-11(13-17-12(7-21-13)14(19)20)6-16-18(8)10-4-2-9(15)3-5-10/h2-7H,1H3,(H,19,20)",WPAXFMQFJQZBFD-UHFFFAOYSA-N,1,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-105,,MNR56,,57519185,,FC1=CC=C(N2N=CC(C3=NC(C(N)=O)=CO3)=C2C)C=C1,"InChI=1S/C14H11FN4O2/c1-8-11(14-18-12(7-21-14)13(16)20)6-17-19(8)10-4-2-9(15)3-5-10/h2-7H,1H3,(H2,16,20)",JODCOGVLCRBBMU-UHFFFAOYSA-N,1,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-108,,AEW34,,,,O=C(/C(S/1)=C/C2=C(C)NC(C)=C2)NC1=N\C3=CC=CC=C3,"InChI=1S/C16H15N3OS/c1-10-8-12(11(2)17-10)9-14-15(20)19-16(21-14)18-13-6-4-3-5-7-13/h3-9,17H,1-2H3,(H,18,19,20)/b14-9-",RARJKBCELXYZBB-ZROIWOOFSA-N,1,,,,,,1.2,,,,,,,,,,1.2,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-109,,MNR82,,,,O=C(/C(S/1)=C/C2=C(C)N(C3=CC=C([N+]([O-])=O)C=C3)C(C)=C2)NC1=N\C4=CC=CC=C4,"InChI=1S/C22H18N4O3S/c1-14-12-16(15(2)25(14)18-8-10-19(11-9-18)26(28)29)13-20-21(27)24-22(30-20)23-17-6-4-3-5-7-17/h3-13H,1-2H3,(H,23,24,27)/b20-13-",CHHZBZWZMLCOEW-MOSHPQCFSA-N,1,,,,,,0.262,,,,,,,,,,0.262,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-11,,PMY15; PMY18; AEW3; MNR97,,894104,,FC1=CC=C(N2C(C)=C(CO)C=C2C)C=C1,"InChI=1S/C13H14FNO/c1-9-7-11(8-16)10(2)15(9)13-5-3-12(14)4-6-13/h3-7,16H,8H2,1-2H3",RXDPKDMALDFFCU-UHFFFAOYSA-N,1,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-110,,MNR83,,,,O=C(/C(S/1)=C/C2=C(C)N(C3=CC=C([N+]([O-])=O)C=C3)C(C)=C2)NC1=N\C4=CC(O)=CC=C4,"InChI=1S/C22H18N4O4S/c1-13-10-15(14(2)25(13)17-6-8-18(9-7-17)26(29)30)11-20-21(28)24-22(31-20)23-16-4-3-5-19(27)12-16/h3-12,27H,1-2H3,(H,23,24,28)/b20-11-",NAHYEQMJTBIJRP-JAIQZWGSSA-N,1,,,,,,2.3,,,,,,,,,,2.3,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-111,,MNR84,,,,O=C(/C(S/1)=C/C2=C(C)N(C3=CC=C(OC)C=C3)C(C)=C2)NC1=N\C4=CC=CC=C4,"InChI=1S/C23H21N3O2S/c1-15-13-17(16(2)26(15)19-9-11-20(28-3)12-10-19)14-21-22(27)25-23(29-21)24-18-7-5-4-6-8-18/h4-14H,1-3H3,(H,24,25,27)/b21-14-",KXIVXNPEYYNDHE-STZFKDTASA-N,1,,,,,,0.146,,,0.147,0.204,,,,,,0.1656666667,,,A,No,,0.686,0.3454,4.386,,32,,,,207,,,,,,,,,8,,,,,,,,,,,,,,,,1.6-3.1,1.6-3.1,,,,,,,,,,,,,,
OSM-S-112,,MNR85,,,,O=C(/C(S/1)=C/C2=C(C)N(C3=CC=C(OC)C=C3)C(C)=C2)NC1=N\C4=CC(O)=CC=C4,"InChI=1S/C23H21N3O3S/c1-14-11-16(15(2)26(14)18-7-9-20(29-3)10-8-18)12-21-22(28)25-23(30-21)24-17-5-4-6-19(27)13-17/h4-13,27H,1-3H3,(H,24,25,28)/b21-12-",RTYHWQWUZGEAOW-MTJSOVHGSA-N,1,,,,,,1.6,,,,,,,,,,1.6,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-113,,MNR92,,,,O=C(/C(S/1)=C/C2=C(C)N(C3=CC=CC=N3)C(C)=C2)NC1=N\C4=CC=C(O)C=C4,"InChI=1S/C21H18N4O2S/c1-13-11-15(14(2)25(13)19-5-3-4-10-22-19)12-18-20(27)24-21(28-18)23-16-6-8-17(26)9-7-16/h3-12,26H,1-2H3,(H,23,24,27)/b18-12-",QZBWTSAVUQHJPY-PDGQHHTCSA-N,1,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-114,,MNR94,,,,O=C(/C(S/1)=C/C2=C(C)N(C3=CC=CC=C3)C(C)=C2)NC1=N\C4=CC(O)=CC=C4,"InChI=1S/C22H19N3O2S/c1-14-11-16(15(2)25(14)18-8-4-3-5-9-18)12-20-21(27)24-22(28-20)23-17-7-6-10-19(26)13-17/h3-13,26H,1-2H3,(H,23,24,27)/b20-12-",ASANPQFHMMSZFH-NDENLUEZSA-N,1,,,,,,1.2,,,,,,,,,,1.2,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-115,,MNR95,,,,O=C(/C(S/1)=C/C2=C(C)N(C3=CC=CC=C3)C(C)=C2)NC1=N\C4=CC=C(O)C=C4,"InChI=1S/C22H19N3O2S/c1-14-12-16(15(2)25(14)18-6-4-3-5-7-18)13-20-21(27)24-22(28-20)23-17-8-10-19(26)11-9-17/h3-13,26H,1-2H3,(H,23,24,27)/b20-13-",OIEJMTDGFAFKDZ-MOSHPQCFSA-N,1,,,,,,1.8,,,,,,,,,,1.8,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-116,,AEW77,,6915212,,CC(N1C2=CC=C(F)C=C2)=C(C(OC(C)C(N)=O)=O)C=C1C,"InChI=1S/C16H17FN2O3/c1-9-8-14(16(21)22-11(3)15(18)20)10(2)19(9)13-6-4-12(17)5-7-13/h4-8,11H,1-3H3,(H2,18,20)",JKLVGXNSTVWIID-UHFFFAOYSA-N,1,,,,,,11,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-12,,PMY20,,292955,,CC(N1C2=CC=CC=C2)=CC(C(O)=O)=C1C,"InChI=1S/C13H13NO2/c1-9-8-12(13(15)16)10(2)14(9)11-6-4-3-5-7-11/h3-8H,1-2H3,(H,15,16)",CIRVCSCFJALBOH-UHFFFAOYSA-N,1,,,,,,70% at 120 micromolar,50% at 120 micromolar,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-13,,PMY21,,757547,,CC1=CC=C(N2C(C)=C(C(O)=O)C=C2C)C=C1,"InChI=1S/C14H15NO2/c1-9-4-6-12(7-5-9)15-10(2)8-13(11(15)3)14(16)17/h4-8H,1-3H3,(H,16,17)",YNFCEUIZSXIFCE-UHFFFAOYSA-N,1,,,,,,70% at 120 micromolar,0,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-138,,MNR121,,,,CC1=CC(/C=C(S/2)/C(NC2=N\C3=CC=CC=C3)=O)=C(C)N1C4=CC=C(N)C=C4,"InChI=1S/C22H20N4OS/c1-14-12-16(15(2)26(14)19-10-8-17(23)9-11-19)13-20-21(27)25-22(28-20)24-18-6-4-3-5-7-18/h3-13H,23H2,1-2H3,(H,24,25,27)/b20-13-",HRLJSVOIZGABSH-MOSHPQCFSA-N,1,,,,,,2.3,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
